"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID"
"11749090_a_at","11749090_a_at",-0.542110714026631,5.54419079530175,-4.62365725862858,4.39328180432598e-06,0.00115188109946189,3.93342275464835,"FOXP1","27086"
"11744649_x_at","11744649_x_at",1.7571806381763,8.21960175186658,4.62099432118473,4.44857089611559e-06,0.00115409977163858,3.92205010116285,"HP","3240"
"11736172_at","11736172_at",-0.244977630865196,2.30675756452868,-4.6154459524929,4.56592188244242e-06,0.00117220531994454,3.89837448471757,"KIAA0355","9710"
"11741873_a_at","11741873_a_at",-0.432119704085618,4.39740306261596,-4.61093978617533,4.66341051008396e-06,0.00118489088073741,3.87916587410418,"CSNK1E","1454"
"11757277_x_at","11757277_x_at",1.79606287034294,7.80319586270449,4.6076024186371,4.73689710205657e-06,0.00119128128548251,3.86495098422859,"HP","3240"
"11754037_x_at","11754037_x_at",0.708199930209888,6.17328813961721,4.60079181012904,4.89032498904222e-06,0.00121387817366259,3.83597267844102,"UBE2F","140739"
"200036_PM_s_at","200036_PM_s_at",-0.735969840750352,8.72988034029551,-4.59917567279896,4.92742688257052e-06,0.00121387817366259,3.82910216382892,"RPL10A","4736"
"11718433_a_at","11718433_a_at",-0.290132449147188,2.18110481831671,-4.59714162293297,4.97450683842902e-06,0.00121387817366259,3.8204582669053,"SASH1","23328"
"11751393_a_at","11751393_a_at",-0.543239048030129,3.2874395186808,-4.59081406802752,5.12373949483973e-06,0.00123640596002262,3.79359182274375,"PIK3IP1","113791"
"11757889_s_at","11757889_s_at",-0.657248285255443,8.38562188317706,-4.58900622404271,5.16715953429886e-06,0.00123640596002262,3.78592224846834,"RPL15","6138"
"11759346_a_at","11759346_a_at",-0.801021081901205,5.54776882475187,-4.58530536231247,5.25714881660884e-06,0.00124584317052059,3.77023067431066,"MAML2","84441"
"200089_PM_s_at","200089_PM_s_at",-0.499487336472574,9.42082368996384,-4.58313942894017,5.31051052363821e-06,0.00124650326062464,3.76105272023991,"RPL4","6124"
"11751394_s_at","11751394_s_at",-0.561123214934157,3.18651237580299,-4.57723758472497,5.45856285159468e-06,0.00126321215732642,3.73606499430806,"PIK3IP1","113791"
"11752951_x_at","11752951_x_at",-0.692242717710847,7.53400896172818,-4.57496435491417,5.51663803630379e-06,0.00126321215732642,3.72644853108111,"RPL15","6138"
"11755811_a_at","11755811_a_at",-0.762007123177315,5.5141293008217,-4.57193182303928,5.59503461546537e-06,0.00126321215732642,3.71362702490385,"ZNF266","10781"
"11736042_a_at","11736042_a_at",-0.294353342738928,2.25519691305611,-4.56668938024189,5.7330880886732e-06,0.00126321215732642,3.69148102411912,"DCAF4","26094"
"11730180_s_at","11730180_s_at",-0.340417973962002,2.22216871133915,-4.56605226924741,5.75008658667168e-06,0.00126321215732642,3.68879127279052,"KDSR","2531"
"11753870_a_at","11753870_a_at",0.537663534044083,6.10655090362344,4.56519240694578,5.77310486876757e-06,0.00126321215732642,3.68516167463931,"ATOX1","475"
"11716872_a_at","11716872_a_at",0.897411806654222,3.99464876866833,4.56390536406736,5.80772384581161e-06,0.00126321215732642,3.6797300972062,"ADCY3","109"
"11733088_at","11733088_at",-0.904074265972004,3.63108265598005,-4.56284174099293,5.83648340812026e-06,0.00126321215732642,3.67524249008191,"MAF","4094"
"11718930_a_at","11718930_a_at",-0.453152673883608,4.11819657814963,-4.56260202081469,5.84298409215336e-06,0.00126321215732642,3.67423120651325,"TGIF2","60436"
"11756144_s_at","11756144_s_at",-0.569253815593884,7.11456028846758,-4.55822314944378,5.96295830549988e-06,0.00127063262192229,3.65576735121283,"EIF4B","1975"
"11715942_a_at","11715942_a_at",0.556193076122157,2.4357820674389,4.55670387509334,6.00513326717455e-06,0.00127063262192229,3.64936513387916,"AQP1","358"
"11743092_at","11743092_at",-0.514982435228792,2.67358800806234,-4.55574232690492,6.03197341414057e-06,0.00127063262192229,3.64531421707603,"THEM4","117145"
"11749252_a_at","11749252_a_at",1.09163354011903,7.40917389135786,4.54621377109793,6.30424060474985e-06,0.00129512952040077,3.60521502332282,"STOM","2040"
"11751647_a_at","11751647_a_at",-1.27990488569575,6.25353235867706,-4.54425525409392,6.36164422086876e-06,0.00129512952040077,3.59698281214178,"IL7R","3575"
"11726518_at","11726518_at",-0.39092427454529,2.86913911779052,-4.5437423238645,6.37676066586616e-06,0.00129512952040077,3.59482737379757,"PBX4","80714"
"11723899_a_at","11723899_a_at",1.43712858872343,8.09512996999751,4.54215373428893,6.42379637585034e-06,0.00129512952040077,3.58815325572963,"DHRS9","10170"
"11756878_a_at","11756878_a_at",-0.729942132722701,6.56071926453491,-4.54170798036638,6.43705410430011e-06,0.00129512952040077,3.58628091348545,"FBL","2091"
"11756764_x_at","11756764_x_at",-0.581007421797526,8.43682348373192,-4.54081938390593,6.4635612679256e-06,0.00129512952040077,3.58254897729204,"RPL14","9045"
"11754725_x_at","11754725_x_at",-0.449798267006342,7.31129757668828,-4.53897716409511,6.51884906876795e-06,0.00129567382378109,3.57481420786778,"SATB1","6304"
"11717058_x_at","11717058_x_at",-0.711586387124203,7.04785914206983,-4.53414046872449,6.66617133750058e-06,0.00131435567027231,3.55452094296071,"RPL5","6125"
"11715265_at","11715265_at",0.836317352833581,5.58261583178429,4.52595596672062,6.92276144940532e-06,0.00135411411652415,3.52022801808659,"FIG4","9896"
"11719783_at","11719783_at",-0.579837195192226,10.2469558332556,-4.52346279819167,7.00278673962941e-06,0.00135870949266196,3.509793349818,"RPS23","6228"
"11720797_a_at","11720797_a_at",-0.391368393504032,3.11998635950998,-4.52161978629225,7.06251246197101e-06,0.00135870949266196,3.50208328723069,"TIMM9","26520"
"11753859_x_at","11753859_x_at",-0.529885380152124,4.24338191503741,-4.52011491688907,7.11164183045494e-06,0.00135870949266196,3.4957900194063,"SNHG12","85028"
"11726440_s_at","11726440_s_at",-0.446386701693422,3.03604052504613,-4.51554595498345,7.26281892714303e-06,0.0013711800237542,3.47669507681105,"MALT1","10892"
"11762452_at","11762452_at",-0.621099276057043,3.32488225331047,-4.51478829595835,7.2881840100544e-06,0.0013711800237542,3.47353038152974,"CASS4","57091"
"11759666_x_at","11759666_x_at",-1.11502590187004,5.82887452695511,-4.50812683904396,7.51488124118473e-06,0.00139756801778807,3.44572755330448,"HLA-DPB1","3115"
"11757489_x_at","11757489_x_at",-0.68684951202652,7.63576328522943,-4.50539516937413,7.60978289832575e-06,0.00139756801778807,3.43433767366351,"RPL22","6146"
"11733562_a_at","11733562_a_at",0.266270154427758,3.22550405271945,4.5048544253909,7.62870466380502e-06,0.00139756801778807,3.43208378143365,"KLHDC10","23008"
"11755279_x_at","11755279_x_at",-1.05857079190368,6.52220057829177,-4.5033028610354,7.68324766843356e-06,0.00139756801778807,3.42561808035185,"HLA-DPB1","3115"
"11739399_s_at","11739399_s_at",0.777110343803388,6.9665164339414,4.50249000019879,7.71197153368409e-06,0.00139756801778807,3.4222315580358,"C20orf194 /// UBE2F","140739 /// 25943"
"11757511_x_at","11757511_x_at",-0.964681840710011,7.47624202877182,-4.49446782928707,8.00102097294613e-06,0.00143235924742815,3.38884086126568,"HLA-DPA1","3113"
"11733024_x_at","11733024_x_at",-0.501442186318487,9.4944221788192,-4.49394571050491,8.02018892092365e-06,0.00143235924742815,3.38666960234248,"BTG1","694"
"11715850_x_at","11715850_x_at",-0.629768630406165,7.22323291862968,-4.4920888516705,8.08871460913702e-06,0.00143420475004886,3.37894969352366,"C6orf48","50854"
"11754917_a_at","11754917_a_at",0.398719210730878,4.82684671723566,4.48210007387568,8.46706927227747e-06,0.0014905150643395,3.33747317279414,"SP100","6672"
"11743864_a_at","11743864_a_at",-1.06980010318232,6.06834144052244,-4.4805507755351,8.52725083469404e-06,0.0014905150643395,3.3310478481636,"ATP2B1","490"
"11718566_s_at","11718566_s_at",-0.703572032463596,3.67068792370823,-4.47874166249025,8.5980431407851e-06,0.0014909685399469,3.32354767439335,"KIAA1147","57189"
"11723213_a_at","11723213_a_at",-0.839712160510643,5.0980044494202,-4.47658904997574,8.68301012897654e-06,0.0014909685399469,3.31462717303363,"MEF2C","4208"
"11762266_x_at","11762266_x_at",-1.15448154130772,6.03987862375935,-4.475876022977,8.71133124045905e-06,0.0014909685399469,3.31167326126399,"IL7R","3575"
"11749061_x_at","11749061_x_at",1.20501154249616,7.57819257972444,4.46876823114355,8.99852709470806e-06,0.00152950137087017,3.28225167156946,"STOM","2040"
"11715921_a_at","11715921_a_at",-0.675690191474327,7.76942105769451,-4.464075167872,9.1930984776838e-06,0.00154963442023964,3.26284979096996,"Septin 9","10801"
"11734982_a_at","11734982_a_at",-0.478516972889577,2.69670277062718,-4.46257655939136,9.25607359786325e-06,0.00154963442023964,3.25665837686045,"GPRASP1","9737"
"11744407_x_at","11744407_x_at",-0.841457019348289,3.1721205885399,-4.45980292028673,9.37371954315284e-06,0.00154963442023964,3.24520445226716,"GOLGA8A","23015"
"11729349_at","11729349_at",2.48473643738835,7.40593695294638,4.45873673804461,9.4193221624608e-06,0.00154963442023964,3.24080338104599,"MMP8","4317"
"11757420_s_at","11757420_s_at",-0.966999883750389,8.0360090325399,-4.45742291471724,9.47580894846875e-06,0.00154963442023964,3.23538145098644,"ZFP36L2","678"
"11733620_a_at","11733620_a_at",-1.16253781211843,4.0288382672793,-4.45674941912148,9.50489091044594e-06,0.00154963442023964,3.2326026348038,"BCL11B","64919"
"11748475_a_at","11748475_a_at",-0.334604157560451,2.80155429648878,-4.45540284150262,9.56329332559475e-06,0.00154963442023964,3.22704790382935,"TCERG1","10915"
